plz;stadt
83666;Waakirchen
83670;Bad Heilbrunn
83671;Benediktbeuern
83673;Bichl
83674;Gaißach
83676;Jachenau
83677;Greiling
83679;Sachsenkam
83684;Tegernsee
83700;Rottach-Egern
83703;Gmund am Tegernsee
83707;Bad Wiessee
83708;Kreuth
83714;Miesbach
83727;Schliersee
83730;Fischbachau
83734;Hausham
83735;Bayrischzell
83737;Irschenberg
83739;Hofreuth bei Wörnsmühl
84072;Au in der Hallertau
84104;Rudelzhausen
84405;Dorfen
84416;Taufkirchen (Vils)
84419;Obertaufkirchen
84424;Isen
84427;Sankt Wolfgang
84428;Buchbach
84431;Heldenstein
84432;Hohenpolding
84434;Kirchberg
84435;Lengdorf
84437;Reichertsheim
84439;Steinkirchen
84453;Mühldorf am Inn
84478;Waldkraiburg
84489;Burghausen
84494;Niederbergkirchen
84503;Altötting
84508;Burgkirchen an der Alz
84513;Erharting
84518;Garching an der Alz
84524;Neuötting
84529;Tittmoning
84533;Haiming
84539;Zangberg
84543;Winhöring
84544;Aschau am Inn
84546;Egglkofen
84547;Emmerting
84549;Engelsberg
84550;Feichten an der Alz
84553;Halsbach, Kreis Altötting
84555;Jettenbach
84556;Kastl
84558;Halsbach
84559;Kraiburg am Inn
84561;Mehring
84562;Mettenheim
84564;Oberbergkirchen
84565;Oberneukirchen
84567;Perach
84568;Pleiskirchen
84570;Polling
84571;Reischach
84573;Schönberg
84574;Taufkirchen
84576;Teising
84577;Tüßling
84579;Unterneukirchen
85049;Ingolstadt
85051;Ingolstadt
85053;Ingolstadt
85055;Ingolstadt
85057;Ingolstadt
85072;Eichstätt
85077;Manching
85080;Gaimersheim
85084;Reichertshofen
85088;Vohburg an der Donau
85092;Kösching
85095;Denkendorf
85098;Großmehring
85101;Lenting
85104;Pförring
85107;Baar-Ebenhausen
85110;Kipfenberg
85111;Adelschlag
85113;Böhmfeld
85114;Buxheim
85116;Egweil
85117;Eitensheim
85119;Ernsgaden
85120;Hepberg
85122;Hitzhofen
85123;Karlskron
85125;Kinding
85126;Münchsmünster
85128;Nassenfels
85129;Oberdolling
85131;Pollenfeld
85132;Schernfeld
85134;Stammham
85135;Titting
85137;Walting
85139;Wettstetten
85221;Dachau
85229;Markt Indersdorf
85232;Bergkirchen
85235;Pfaffenhofen an der Glonn
85238;Petershausen
85241;Hebertshausen
85244;Röhrmoos
85247;Schwabhausen
85250;Altomünster
85253;Erdweg
85254;Sulzemoos
85256;Vierkirchen
85258;Weichs
85259;Wiedenzhausen
85276;Pfaffenhofen an der Ilm
85283;Wolnzach
85290;Geisenfeld
85293;Reichertshausen
85296;Rohrbach
85298;Scheyern
85301;Schweitenkirchen
85302;Gerolsbach
85304;Ilmmünster
85305;Jetzendorf
85307;Paunzhausen
85309;Pörnbach
85354;Freising
85356;Freising
85368;Moosburg
85375;Neufahrn bei Freising
85376;Hetzenhausen
85386;Eching
85391;Allershausen
85395;Attenkirchen
85399;Hallbergmoos
85402;Kranzberg
85405;Nandlstadt
85406;Zolling
85408;Gammelsdorf
85410;Haag an der Amper
85411;Hohenkammer
85413;Hörgertshausen
85414;Kirchdorf an der Amper
85416;Langenbach
85417;Marzling
85419;Mauern
85435;Erding
85445;Oberding
85447;Fraunberg
85452;Moosinning
85456;Wartenberg
85457;Wörth
85459;Berglern
85461;Bockhorn
85462;Eitting
85464;Finsing
85465;Langenpreising
85467;Neuching
85469;Walpertskirchen
85521;Ottobrunn
85540;Haar
85551;Kirchheim bei München
85560;Ebersberg
85567;Bruck
85570;Markt Schwaben
85579;Neubiberg
85586;Poing
85591;Vaterstetten
85598;Baldham
85599;Parsdorf
85604;Zorneding
85609;Aschheim
85614;Kirchseeon
85617;Aßling
85622;Feldkirchen
85625;Baiern
85630;Grasbrunn
85635;Höhenkirchen-Siegertsbrunn
85640;Putzbrunn
85643;Steinhöring
85646;Anzing
85649;Brunnthal
85652;Pliening
85653;Aying
85655;Loibersdorf bei Großhelfendorf
85656;Buch am Buchrain
85658;Egmating
85659;Forstern
85661;Forstinning
85662;Hohenbrunn
85664;Hohenlinden
85665;Moosach
85667;Oberpframmern
85669;Pastetten
85716;Unterschleißheim
85737;Ismaning
85748;Garching bei München
85757;Karlsfeld
85764;Oberschleißheim
85774;Unterföhring
85777;Fahrenzhausen
85778;Haimhausen
86492;Egling an der Paar
86529;Schrobenhausen
86558;Hohenwart
86561;Aresing
86562;Berg im Gau
86564;Brunnen
86565;Gachenbach
86567;Hilgertshausen-Tandern
86571;Langenmosen
86579;Waidhofen
86633;Neuburg an der Donau
86643;Rennertshofen
86666;Burgheim
86668;Karlshuld
86669;Königsmoos
86673;Bergheim
86676;Ehekirchen
86697;Oberhausen
86701;Rohrenfels
86706;Weichering
86836;Obermeitingen
86857;Hurlach
86859;Igling
86899;Landsberg am Lech
86911;Dießen am Ammersee
86916;Kaufering
86919;Utting am Ammersee
86920;Denklingen
86922;Eresing
86923;Finning
86925;Fuchstal
86926;Greifenberg
86928;Hofstetten
86929;Penzing
86931;Prittriching
86932;Pürgen
86934;Reichling
86935;Rott
86937;Scheuring
86938;Schondorf am Ammersee
86940;Schwifting
86941;Sankt Ottilien
86943;Thaining
86944;Unterdießen
86946;Vilgertshofen
86947;Weil
86949;Windach
86956;Schongau
86971;Peiting
86972;Altenstadt
86974;Apfeldorf
86975;Bernbeuren
86977;Burggen
86978;Hohenfurch
86980;Ingenried
86981;Kinsau
86984;Prem
86986;Schwabbruck
86987;Schwabsoien
86989;Steingaden
91795;Dollnstein
91804;Mörnsheim
91809;Wellheim
92339;Beilngries
93336;Altmannstein
93349;Mindelstetten
84028;Landshut
84030;Landshut
84032;Altdorf
84034;Landshut
84036;Landshut
84048;Mainburg
84051;Essenbach
84056;Rottenburg an der Laaber
84061;Ergoldsbach
84066;Mallersdorf-Pfaffenberg
84076;Pfeffenhausen
84079;Bruckberg
84082;Laberweinting
84085;Langquaid
84088;Neufahrn in Niederbayern
84089;Aiglsbach
84091;Attenhofen
84092;Bayerbach
84094;Elsendorf
84095;Furth
84097;Herrngiersdorf
84098;Hohenthann
84100;Niederaichbach
84101;Obersüßbach
84103;Postau
84106;Volkenschwand
84107;Weihmichl
84109;Wörth an der Isar
84130;Dingolfing
84137;Vilsbiburg
84140;Gangkofen
84144;Geisenhausen
84149;Velden
84152;Mengkofen
84155;Bodenkirchen
84160;Frontenhausen
84163;Marklkofen
84164;Moosthenning
84166;Adlkofen
84168;Aham
84169;Altfraunhofen
84171;Baierbach
84172;Buch am Erlbach
84174;Eching
84175;Schalkham
84177;Gottfrieding
84178;Kröning
84180;Loiching
84181;Neufraunhofen
84183;Niederviehbach
84184;Tiefenbach
84186;Vilsheim
84187;Weng
84189;Wurmsham
84307;Eggenfelden
84323;Massing
84326;Rimbach
84329;Wurmannsquick
84332;Hebertsfelden
84333;Malgersdorf
84335;Mitterskirchen
84337;Schönau
84339;Unterdietfurt
84347;Pfarrkirchen
84359;Simbach am Inn
84364;Bad Birnbach
84367;Reut
84371;Triftern
84375;Kirchdorf am Inn
84378;Dietersburg
84381;Johanniskirchen
84384;Wittibreut
84385;Egglham
84387;Julbach
84389;Postmünster
84552;Geratskirchen
93077;Bad Abbach
93309;Kelheim
93326;Abensberg
93333;Neustadt an der Donau
93339;Riedenburg
93342;Saal an der Donau
93343;Essing
93345;Hausen
93346;Ihrlerstein
93348;Kirchdorf
93351;Painten
93352;Rohr in Niederbayern
93354;Biburg
93356;Teugn
93358;Train
93359;Wildenberg
93471;Arnbruck
94032;Passau
94034;Passau
94036;Passau
94051;Hauzenberg
94060;Pocking
94065;Waldkirchen
94072;Bad Füssing
94078;Freyung
94081;Fürstenzell
94086;Bad Griesbach im Rottal
94089;Neureichenau
94094;Rotthalmünster
94099;Ruhstorf an der Rott
94104;Tittling
94107;Untergriesbach
94110;Wegscheid
94113;Tiefenbach
94116;Hutthurm
94118;Jandelsbrunn
94121;Salzweg
94124;Büchlberg
94127;Neuburg am Inn
94130;Obernzell
94133;Röhrnbach
94136;Thyrnau
94137;Bayerbach
94139;Breitenberg
94140;Ering
94142;Fürsteneck
94143;Grainet
94145;Haidmühle
94146;Hinterschmiding
94148;Kirchham
94149;Kößlarn
94151;Mauth
94152;Neuhaus am Inn
94154;Neukirchen vorm Wald
94155;Otterskirchen
94157;Perlesreut
94158;Philippsreut
94160;Ringelai
94161;Ruderting
94163;Saldenburg
94164;Sonnen
94166;Stubenberg
94167;Tettenweis
94169;Thurmansbang
94209;Regen
94227;Lindberg
94234;Viechtach
94239;Gotteszell
94244;Teisnach
94249;Bodenmais
94250;Achslach
94252;Bayerisch Eisenstein
94253;Bischofsmais
94255;Böbrach
94256;Drachselsried
94258;Frauenau
94259;Kirchberg im Wald
94261;Kirchdorf im Wald
94262;Kollnburg
94264;Langdorf
94265;Patersdorf
94267;Prackenbach
94269;Rinchnach
94315;Straubing
94327;Bogen
94330;Salching
94333;Geiselhöring
94336;Windberg
94339;Leiblfing
94342;Straßkirchen
94344;Wiesenfelden
94345;Aholfing
94347;Ascha
94348;Atting
94350;Falkenfels
94351;Feldkirchen
94353;Haibach
94354;Haselbach
94356;Kirchroth
94357;Konzell
94359;Loitzendorf
94360;Mitterfels
94362;Neukirchen
94363;Oberschneiding
94365;Parkstetten
94366;Perasdorf
94368;Perkam
94369;Rain
94371;Rattenberg
94372;Rattiszell
94374;Schwarzach
94375;Stallwang
94377;Steinach
94379;Sankt Englmar
94405;Landau an der Isar
94419;Reisbach
94424;Arnstorf
94428;Eichendorf
94431;Pilsting
94436;Simbach
94437;Mamming
94439;Roßbach
94447;Plattling
94469;Deggendorf
94474;Vilshofen
94481;Grafenau
94486;Osterhofen
94491;Hengersberg
94496;Ortenburg
94501;Aidenbach
94505;Bernried
94508;Schöllnach
94513;Schönberg
94518;Spiegelau
94522;Wallersdorf
94526;Metten
94527;Aholming
94529;Aicha vorm Wald
94530;Auerbach
94532;Außernzell
94533;Buchhofen
94535;Eging am See
94536;Eppenschlag
94538;Fürstenstein
94539;Grafling
94541;Grattersdorf
94542;Haarbach
94544;Hofkirchen
94545;Hohenau
94547;Iggensbach
94548;Innernzell
94550;Künzing
94551;Hunding
94553;Mariaposching
94554;Moos
94556;Neuschönau
94557;Niederalteich
94559;Niederwinkling
94560;Offenberg
94562;Oberpöring
94563;Otzing
94565;Erlhof bei Rathsmannsdorf
94566;Sankt Oswald-Riedlhütte
94568;Sankt Oswald-Riedlhütte
94569;Stephansposching
94571;Schaufling
94572;Schöfweg
94574;Wallerfing
94575;Windorf
94577;Winzer
94579;Zenting
84069;Schierling
90602;Pyrbaum
91249;Weigendorf
91275;Auerbach in der Oberpfalz
91281;Kirchenthumbach
92224;Amberg
92237;Sulzbach-Rosenberg
92242;Hirschau
92245;Kümmersbruck
92249;Vilseck
92253;Schnaittenbach
92256;Hahnbach
92259;Neukirchen bei Sulzbach-Rosenberg
92260;Ammerthal
92262;Birgland
92263;Ebermannsdorf
92265;Edelsfeld
92266;Ensdorf
92268;Etzelwang
92269;Fensterbach
92271;Freihung
92272;Freudenberg
92274;Gebenbach
92275;Hirschbach
92277;Hohenburg
92278;Illschwang
92280;Kastl
92281;Königstein
92283;Lauterhofen
92284;Poppenricht
92286;Rieden
92287;Schmidmühlen
92289;Ursensollen
92318;Neumarkt in der Oberpfalz
92331;Lupburg
92334;Berching
92342;Freystadt
92345;Dietfurt an der Altmühl
92348;Berg bei Neumarkt in der Oberpfalz
92353;Postbauer-Heng
92355;Velburg
92358;Seubersdorf in der Oberpfalz
92360;Mühlhausen
92361;Berngau
92363;Breitenbrunn
92364;Deining
92366;Hohenfels
92367;Pilsach
92369;Sengenthal
92421;Schwandorf
92431;Neunburg vorm Wald
92436;Bruck in der Oberpfalz
92439;Bodenwöhr
92442;Wackersdorf
92444;Rötz
92445;Neukirchen-Balbini
92447;Schwarzhofen
92449;Steinberg
92507;Nabburg
92521;Schwarzenfeld
92526;Oberviechtach
92533;Wernberg-Köblitz
92536;Pfreimd
92539;Schönsee
92540;Altendorf
92542;Dieterskirchen
92543;Guteneck
92545;Niedermurach
92546;Schmidgaden
92548;Schwarzach bei Nabburg
92549;Stadlern
92551;Stulln
92552;Teunz
92554;Thanstein
92555;Trausnitz
92557;Weiding
92559;Winklarn
92637;Weiden
92648;Vohenstrauß
92655;Grafenwöhr
92660;Neustadt an der Waldnaab
92665;Kirchendemenreuth
92670;Windischeschenbach
92676;Speinshart
92681;Erbendorf
92685;Floß
92690;Pressath
92693;Eslarn
92694;Etzenricht
92696;Flossenbürg
92697;Georgenberg
92699;Bechtsrieth
92700;Kaltenbrunn, Oberpfalz
92702;Kohlberg
92703;Krummennaab
92705;Leuchtenberg
92706;Luhe-Wildenau
92708;Mantel
92709;Moosbach
92711;Parkstein
92712;Pirk
92714;Pleystein
92715;Püchersreuth
92717;Reuth bei Erbendorf
92718;Schirmitz
92720;Schwarzenbach
92721;Störnstein
92723;Gleiritsch
92724;Trabitz
92726;Waidhaus
92727;Waldthurn
92729;Weiherhammer
93047;Regensburg
93049;Regensburg
93051;Regensburg
93053;Regensburg
93055;Regensburg
93057;Regensburg
93059;Regensburg
93073;Neutraubling
93080;Pentling
93083;Obertraubling
93086;Wörth an der Donau
93087;Alteglofsheim
93089;Aufhausen
93090;Bach an der Donau
93092;Barbing
93093;Donaustauf
93095;Hagelstadt
93096;Köfering
93098;Mintraching
93099;Mötzing
93101;Pfakofen
93102;Pfatter
93104;Riekofen
93105;Tegernheim
93107;Thalmassing
93109;Wiesent
93128;Regenstauf
93133;Burglengenfeld
93138;Lappersdorf
93142;Maxhütte-Haidhof
93149;Nittenau
93152;Nittendorf
93155;Hemau
93158;Teublitz
93161;Sinzing
93164;Laaber
93167;Falkenstein
93170;Bernhardswald
93173;Wenzenbach
93176;Beratzhausen
93177;Altenthann
93179;Brennberg
93180;Deuerling
93182;Duggendorf
93183;Kallmünz
93185;Michelsneukirchen
93186;Pettendorf
93188;Pielenhofen
93189;Reichenbach
93191;Rettenbach
93192;Wald
93194;Walderbach
93195;Wolfsegg
93197;Zeitlarn
93199;Zell
93413;Cham
93426;Roding
93437;Furth im Wald
93444;Kötzting
93449;Waldmünchen
93453;Neukirchen beim Heiligen Blut
93455;Traitsching
93458;Eschlkam
93462;Lam
93464;Tiefenbach
93466;Chamerau
93468;Miltach
93470;Lohberg
93473;Arnschwang
93474;Arrach
93476;Blaibach
93477;Gleißenberg
93479;Grafenwiesen
93480;Hohenwarth
93482;Pemfling
93483;Pösing
93485;Rimbach
93486;Runding
93488;Schönthal
93489;Schorndorf
93491;Stamsried
93492;Treffelstein
93494;Waffenbrunn
93495;Weiding
93497;Willmering
93499;Zandt
95478;Kemnath
95505;Immenreuth
95506;Kastl
95508;Kulmain
95514;Neustadt am Kulm
95519;Vorbach
95643;Tirschenreuth
95652;Waldsassen
95666;Leonberg
95671;Bärnau
95676;Wiesau
95679;Waldershof
95682;Brand
95683;Ebnath
95685;Falkenberg
95688;Friedenfels
95689;Fuchsmühl
95692;Konnersreuth
95695;Mähring
95698;Neualbenreuth
95700;Neusorg
95701;Pechbrunn
95703;Plößberg
95704;Pullenreuth
91077;Hetzles
91090;Effeltrich
91094;Langensendelbach
91099;Poxdorf
91257;Pegnitz
91278;Pottenstein
91282;Betzenstein
91286;Obertrubach
91287;Plech
91289;Schnabelwaid
91301;Forchheim
91320;Ebermannstadt
91322;Gräfenberg
91327;Gößweinstein
91330;Eggolsheim
91332;Heiligenstadt
91336;Heroldsbach
91338;Igensdorf
91344;Waischenfeld
91346;Wiesenttal
91347;Aufseß
91349;Egloffstein
91352;Hallerndorf
91353;Hausen
91355;Hiltpoltstein
91356;Kirchehrenbach
91358;Kunreuth
91359;Leutenbach
91361;Pinzberg
91362;Pretzfeld
91364;Unterleinleiter
91365;Weilersbach
91367;Weißenohe
91369;Wiesenthau
95028;Hof
95030;Hof
95032;Hof
95100;Selb
95111;Rehau
95119;Naila
95126;Schwarzenbach an der Saale
95131;Schwarzenbach am Wald
95138;Bad Steben
95145;Oberkotzau
95152;Selbitz
95158;Kirchenlamitz
95163;Weißenstadt
95168;Marktleuthen
95173;Schönwald
95176;Konradsreuth
95179;Geroldsgrün
95180;Berg
95182;Döhlau
95183;Trogen
95185;Gattendorf
95186;Höchstädt im Fichtelgebirge
95188;Issigau
95189;Köditz
95191;Leupoldsgrün
95192;Lichtenberg
95194;Regnitzlosau
95195;Röslau
95197;Schauenstein
95199;Thierstein
95213;Münchberg
95233;Helmbrechts
95234;Sparneck
95236;Stammbach
95237;Weißdorf
95239;Zell
95326;Kulmbach
95336;Mainleus
95339;Wirsberg
95346;Stadtsteinach
95349;Thurnau
95352;Marktleugast
95355;Presseck
95356;Grafengehaig
95358;Guttenberg
95359;Kasendorf
95361;Ködnitz
95362;Kupferberg
95364;Ludwigschorgast
95365;Rugendorf
95367;Trebgast
95369;Untersteinach
95444;Bayreuth
95445;Bayreuth
95447;Bayreuth
95448;Bayreuth
95460;Bad Berneck im Fichtelgebirge
95463;Bindlach
95466;Weidenberg
95469;Speichersdorf
95473;Prebitz
95482;Gefrees
95485;Warmensteinach
95488;Eckersdorf
95490;Mistelgau
95491;Ahorntal
95493;Bischofsgrün
95494;Gesees
95496;Glashütten
95497;Goldkronach
95499;Harsdorf
95500;Heinersreuth
95502;Himmelkron
95503;Hummeltal
95509;Marktschorgast
95511;Mistelbach
95512;Neudrossenfeld
95515;Plankenfels
95517;Seybothenreuth
95615;Marktredwitz
95632;Wunsiedel
95659;Arzberg
95680;Bad Alexandersbad
95686;Fichtelberg
95691;Hohenberg an der Eger
95694;Mehlmeisel
95697;Nagel
95706;Schirnding
95707;Thiersheim
95709;Tröstau
96047;Bamberg
96049;Bamberg
96050;Bamberg
96052;Bamberg
96103;Hallstadt
96110;Scheßlitz
96114;Hirschaid
96117;Memmelsdorf
96120;Bischberg
96123;Litzendorf
96129;Strullendorf
96132;Schlüsselfeld
96135;Stegaurach
96138;Burgebrach
96142;Hollfeld
96145;Seßlach
96146;Altendorf
96148;Baunach
96149;Breitengüßbach
96154;Burgwindheim
96155;Buttenheim
96157;Ebrach
96158;Frensdorf
96161;Gerach
96163;Gundelsheim
96164;Kemmern
96167;Königsfeld
96169;Lauter
96170;Priesendorf
96173;Oberhaid
96175;Pettstadt
96178;Pommersfelden
96179;Rattelsdorf
96182;Reckendorf
96185;Schönbrunn
96187;Stadelhofen
96191;Viereth-Trunstadt
96194;Walsdorf
96196;Wattendorf
96197;Wonsees
96199;Zapfendorf
96215;Lichtenfels
96224;Burgkunstadt
96231;Bad Staffelstein
96237;Ebersdorf
96242;Sonnefeld
96247;Michelau in Oberfranken
96250;Ebensfeld
96253;Untersiemau
96257;Redwitz an der Rodach
96260;Weismain
96264;Altenkunstadt
96268;Mitwitz
96269;Großheirath
96271;Grub am Forst
96272;Hochstadt am Main
96274;Itzgrund
96275;Marktzeuln
96277;Schneckenlohe
96279;Weidhausen bei Coburg
96317;Kronach
96328;Küps
96332;Pressig
96337;Ludwigsstadt
96342;Stockheim
96346;Wallenfels
96349;Steinwiesen
96352;Wilhelmsthal
96355;Tettau
96358;Teuschnitz
96361;Steinbach am Wald
96364;Marktrodach
96365;Nordhalben
96367;Tschirn
96369;Weißenbrunn
96450;Coburg
96465;Neustadt bei Coburg
96472;Rödental
96476;Bad Rodach
96479;Weitramsdorf
96482;Ahorn
96484;Meeder
96486;Lautertal
96487;Dörfles-Esbach
96489;Niederfüllbach
90402;Nürnberg
90403;Nürnberg
90408;Nürnberg
90409;Nürnberg
90411;Nürnberg
90419;Nürnberg
90425;Nürnberg
90427;Nürnberg
90429;Nürnberg
90431;Nürnberg
90439;Nürnberg
90441;Nürnberg
90443;Nürnberg
90449;Nürnberg
90451;Nürnberg
90453;Nürnberg
90455;Nürnberg
90457;Moorenbrunn
90459;Nürnberg
90461;Nürnberg
90469;Nürnberg
90471;Nürnberg
90473;Nürnberg
90475;Nürnberg
90478;Nürnberg
90480;Nürnberg
90482;Nürnberg
90489;Nürnberg
90491;Nürnberg
90513;Zirndorf
90518;Altdorf
90522;Oberasbach
90530;Wendelstein
90537;Feucht
90542;Eckental
90547;Stein bei Nürnberg
90552;Röthenbach an der Pegnitz
90556;Cadolzburg
90559;Burgthann
90562;Kalchreuth
90571;Schwaig
90574;Roßtal
90579;Langenzenn
90584;Allersberg
90587;Veitsbronn
90592;Schwarzenbruck
90596;Schwanstetten
90599;Dietenhofen
90607;Rückersdorf
90610;Winkelhaid
90613;Großhabersdorf
90614;Ammerndorf
90616;Neuhof an der Zenn
90617;Puschendorf
90619;Trautskirchen
90762;Fürth
90763;Fürth
90765;Fürth
90766;Fürth
90768;Fürth
91052;Erlangen
91054;Erlangen
91056;Erlangen
91058;Erlangen
91074;Herzogenaurach
91080;Marloffstein
91083;Baiersdorf
91085;Weisendorf
91086;Aurachtal
91088;Bubenreuth
91091;Großenseebach
91093;Heßdorf
91096;Möhrendorf
91097;Oberreichenbach
91126;Kammerstein
91154;Roth
91161;Hilpoltstein
91166;Georgensgmünd
91171;Greding
91174;Spalt
91177;Thalmässing
91180;Heideck
91183;Abenberg
91186;Büchenbach
91187;Röttenbach
91189;Rohr
91207;Lauf an der Pegnitz
91217;Hersbruck
91220;Schnaittach
91224;Pommelsbrunn
91227;Leinburg
91230;Happurg
91233;Neunkirchen am Sand
91235;Hartenstein
91236;Alfeld
91238;Offenhausen
91239;Henfenfeld
91241;Kirchensittenbach
91242;Ottensoos
91244;Reichenschwand
91245;Simmelsdorf
91247;Vorra
91284;Neuhaus an der Pegnitz
91315;Höchstadt an der Aisch
91325;Adelsdorf
91334;Hemhofen
91341;Röttenbach
91350;Gremsdorf
91413;Neustadt an der Aisch
91438;Bad Windsheim
91443;Scheinfeld
91448;Emskirchen
91452;Wilhermsdorf
91456;Diespeck
91459;Markt Erlbach
91460;Baudenbach
91462;Dachsbach
91463;Dietersheim
91465;Ergersheim
91466;Gerhardshofen
91468;Gutenstetten
91469;Hagenbüchach
91471;Illesheim
91472;Ipsheim
91474;Langenfeld
91475;Lonnerstadt
91477;Markt Bibart
91478;Markt Nordheim
91480;Markt Taschendorf
91481;Münchsteinach
91483;Oberscheinfeld
91484;Sugenheim
91486;Uehlfeld
91487;Vestenbergsgreuth
91489;Wilhelmsdorf
91522;Ansbach
91541;Rothenburg ob der Tauber
91550;Dinkelsbühl
91555;Feuchtwangen
91560;Heilsbronn
91564;Neuendettelsau
91567;Herrieden
91572;Bechhofen
91575;Windsbach
91578;Leutershausen
91580;Petersaurach
91583;Schillingsfürst
91586;Lichtenau
91587;Adelshofen
91589;Aurach
91590;Bruckberg
91592;Buch am Wald
91593;Burgbernheim
91595;Burgoberbach
91596;Burk
91598;Colmberg
91599;Dentlein am Forst
91601;Dombühl
91602;Dürrwangen
91604;Flachslanden
91605;Gallmersgarten
91607;Gebsattel
91608;Geslau
91610;Insingen
91611;Lehrberg
91613;Marktbergel
91614;Mönchsroth
91616;Neusitz
91617;Oberdachstetten
91619;Obernzenn
91620;Ohrenbach
91622;Rügland
91623;Sachsen
91625;Schnelldorf
91626;Schopfloch
91628;Steinsfeld
91629;Weihenzell
91631;Wettringen
91632;Wieseth
91634;Wilburgstetten
91635;Windelsbach
91637;Wörnitz
91639;Wolframs-Eschenbach
91710;Gunzenhausen
91717;Wassertrüdingen
91719;Heidenheim
91720;Absberg
91722;Arberg
91723;Dittenheim
91725;Ehingen
91726;Gerolfingen
91728;Gnotzheim
91729;Haundorf
91731;Langfurth
91732;Merkendorf
91734;Mitteleschenbach
91735;Muhr am See
91737;Ornbau
91738;Pfofeld
91740;Röckingen
91741;Theilenhofen
91743;Unterschwaningen
91744;Weiltingen
91746;Weidenbach
91747;Westheim
91749;Wittelshofen
91757;Treuchtlingen
91781;Weißenburg in Bayern
91785;Pleinfeld
91788;Pappenheim
91790;Nennslingen
91792;Ellingen
91793;Alesheim
91796;Ettenstatt
91798;Höttingen
91799;Langenaltheim
91801;Markt Berolzheim
91802;Meinheim
91805;Polsingen
91807;Solnhofen
96152;Burghaslach
96172;Mühlhausen
96193;Wachenroth
97215;Weigenheim
97258;Ippesheim
63739;Aschaffenburg
63741;Aschaffenburg
63743;Aschaffenburg
63755;Alzenau in Unterfranken
63762;Großostheim
63768;Hösbach
63773;Goldbach
63776;Mömbris
63785;Obernburg am Main
63791;Karlstein am Main
63796;Kahl am Main
63801;Kleinostheim
63808;Haibach
63811;Stockstadt am Main
63814;Mainaschaff
63820;Elsenfeld
63825;Sommerkahl
63826;Geiselbach
63828;Kleinkahl
63829;Krombach
63831;Wiesen
63834;Sulzbach am Main
63839;Kleinwallstadt
63840;Hausen
63843;Niedernberg
63846;Laufach
63849;Leidersbach
63853;Mömlingen
63856;Bessenbach
63857;Waldaschaff
63860;Rothenbuch
63863;Eschau
63864;Glattbach
63867;Johannesberg
63868;Großwallstadt
63869;Heigenbrücken
63871;Heinrichsthal
63872;Heimbuchenthal
63874;Dammbach
63875;Mespelbrunn
63877;Sailauf
63879;Weibersbrunn
63897;Miltenberg
63906;Erlenbach am Main
63911;Klingenberg am Main
63916;Amorbach
63920;Großheubach
63924;Kleinheubach
63925;Laudenbach
63927;Bürgstadt
63928;Eichenbühl
63930;Neunkirchen
63931;Kirchzell
63933;Mönchberg
63934;Röllbach
63936;Schneeberg
63937;Weilbach
63939;Wörth am Main
96106;Ebern
96126;Maroldsweisach
96151;Breitbrunn
96160;Geiselwind
96166;Kirchlauter
96176;Pfarrweisach
96181;Rauhenebrach
96184;Rentweinsdorf
96188;Stettfeld
96190;Untermerzbach
97070;Würzburg
97072;Würzburg
97074;Würzburg
97076;Würzburg
97078;Würzburg
97080;Würzburg
97082;Würzburg
97084;Würzburg
97199;Ochsenfurt
97204;Höchberg
97209;Veitshöchheim
97218;Gerbrunn
97222;Rimpar
97225;Zellingen
97228;Rottendorf
97230;Estenfeld
97232;Giebelstadt
97234;Reichenberg
97236;Randersacker
97237;Altertheim
97239;Aub
97241;Bergtheim
97243;Bieberehren
97244;Bütthard
97246;Eibelstadt
97247;Eisenheim
97249;Eisingen
97250;Erlabrunn
97252;Frickenhausen am Main
97253;Gaukönigshofen
97255;Sonderhofen
97256;Geroldshausen
97259;Greußenheim
97261;Güntersleben
97262;Hausen bei Würzburg
97264;Helmstadt
97265;Hettstadt
97267;Himmelstadt
97268;Kirchheim
97270;Kist
97271;Kleinrinderfeld
97273;Kürnach
97274;Leinach
97276;Margetshöchheim
97277;Neubrunn
97279;Prosselsheim
97280;Remlingen
97282;Retzstadt
97283;Riedenheim
97285;Röttingen
97286;Sommerhausen
97288;Theilheim
97289;Thüngen
97291;Thüngersheim
97292;Holzkirchen
97294;Unterpleichfeld
97295;Waldbrunn
97297;Waldbüttelbrunn
97299;Zell am Main
97318;Biebelried
97320;Buchbrunn
97332;Volkach
97334;Nordheim am Main
97337;Dettelbach
97340;Marktbreit
97342;Obernbreit
97346;Iphofen
97348;Markt Einersheim
97350;Mainbernheim
97353;Wiesentheid
97355;Wiesenbronn
97357;Prichsenstadt
97359;Schwarzach am Main
97412;Schweinfurt
97421;Schweinfurt
97422;Schweinfurt
97424;Schweinfurt
97437;Haßfurt
97440;Werneck
97447;Frankenwinheim
97450;Arnstein
97453;Schonungen
97456;Dittelbrunn
97461;Hofheim in Unterfranken
97464;Niederwerrn
97469;Gochsheim
97475;Zeil am Main
97478;Knetzgau
97483;Eltmann
97486;Königsberg in Bayern
97488;Stadtlauringen
97490;Poppenhausen
97491;Aidhausen
97493;Bergrheinfeld
97494;Bundorf
97496;Burgpreppach
97497;Dingolshausen
97499;Donnersdorf
97500;Ebelsbach
97502;Euerbach
97503;Gädheim
97505;Geldersheim
97506;Grafenrheinfeld
97508;Grettstadt
97509;Kolitzheim
